seed,baseline,accuracy,stale_rate,false_rate,unknown_rate,context_per_query,traversal_per_query,corrections_per_1k_queries
11,oracle,1.0,0.0,0.0,0.0,1.0,1.0,0.0
11,full_brain,0.99125,0.14285714285714285,0.8571428571428571,0.0,1.0,1.0,8.75
11,vector_rag_rerank,0.9075,0.7702702702702703,0.22972972972972974,0.0,5.0,8.0,85.0
11,vector_rag,0.8275,0.4782608695652174,0.5217391304347826,0.0,1.0,1.0,100.0
11,heuristic_stateful,0.8125,0.9533333333333334,0.04666666666666667,0.0,1.0,1.0,100.0
11,graph_route_pg,0.79625,0.38650306748466257,0.34355828220858897,0.26993865030674846,0.945,1.055,100.0
11,route_fn_only,0.615,0.05194805194805195,0.948051948051948,0.0,1.0,1.0,100.0
11,static_graph,0.0,0.0,0.0,1.0,0.0,2.0,100.0
22,oracle,1.0,0.0,0.0,0.0,1.0,1.0,0.0
22,full_brain,0.99125,0.0,1.0,0.0,1.0,1.0,7.5
22,vector_rag_rerank,0.875,0.96,0.04,0.0,5.0,8.0,100.0
22,vector_rag,0.82625,0.49640287769784175,0.5035971223021583,0.0,1.0,1.0,100.0
22,heuristic_stateful,0.7975,0.9814814814814815,0.018518518518518517,0.0,1.0,1.0,100.0
22,graph_route_pg,0.74625,0.31527093596059114,0.2857142857142857,0.39901477832512317,0.89875,1.10125,100.0
22,route_fn_only,0.62125,0.052805280528052806,0.9471947194719472,0.0,1.0,1.0,100.0
22,static_graph,0.0,0.0,0.0,1.0,0.0,2.0,100.0
33,oracle,1.0,0.0,0.0,0.0,1.0,1.0,0.0
33,full_brain,0.995,0.5,0.5,0.0,1.0,1.0,3.75
33,vector_rag_rerank,0.8825,0.9787234042553191,0.02127659574468085,0.0,5.0,8.0,100.0
33,vector_rag,0.82625,0.5107913669064749,0.4892086330935252,0.0,1.0,1.0,100.0
33,heuristic_stateful,0.8175,0.9931506849315068,0.00684931506849315,0.0,1.0,1.0,100.0
33,graph_route_pg,0.72,0.21875,0.21428571428571427,0.5669642857142857,0.84125,1.15875,100.0
33,route_fn_only,0.6775,0.031007751937984496,0.9689922480620154,0.0,1.0,1.0,100.0
33,static_graph,0.0,0.0,0.0,1.0,0.0,2.0,100.0
44,oracle,1.0,0.0,0.0,0.0,1.0,1.0,0.0
44,full_brain,0.9925,0.3333333333333333,0.6666666666666666,0.0,1.0,1.0,6.25
44,vector_rag_rerank,0.9,0.9,0.1,0.0,5.0,8.0,97.5
44,vector_rag,0.85125,0.6386554621848739,0.36134453781512604,0.0,1.0,1.0,100.0
44,heuristic_stateful,0.815,0.9932432432432432,0.006756756756756757,0.0,1.0,1.0,100.0
44,graph_route_pg,0.7625,0.3894736842105263,0.21052631578947367,0.4,0.905,1.095,100.0
